start,ERGO_ID,Gene,E/N,length,transposon_insertions,assertion_error,SP_ID,functional_role,blattner_id,ERGO,eri
4117929,REC06253,menA,N,308,"43, 87, 118, 179, 226, 283",,P32166,"1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.-)",b3930,NCM,0.34
4119327,REC06254,hslU,N,443,"4, 123, 303",,P32168,ATP-dependent hsl protease ATP-binding subunit hslU,b3931,SMC,0.63
4119867,REC06255,hslV,N,176,"15, 32, 45, 73, 79",,P31059,ATP-dependent protease hslV (EC 3.4.25.-),b3932,SMC,0.63
4120919,REC06256,ftsN,N,319,"189, 248, 261, 300",,P29131,Cell division protein ftsN,b3933,RCD,0.09
4122036,REC06257,cytR,N,341,"14, 115, 120, 187, 259, 298",,P06964,Transcriptional repressor cytR,b3934,RCD,0.59
4124390,REC06258,priA,E,732,725,< 0.001,P17888,Primosomal protein N',b3935,NAM,0.91
4124593,REC03834,rpmE,?,70,-,,P02432,50S ribosomal protein L31,b3936,PMS,0.63
4125474,REC06259,yiiX,N,202,"49, 55, 110",,P32167,Hypothetical protein yiiX precursor,b3937,UNC,0.00
4125975,REC06260,metJ,N,105,84,,P08338,Met repressor,b3938,RCD,0.06
4126252,REC03837,metB,N,386,"27, 50, 68, 87, 99, 176, 196, 236, 321, 364",,P00935,Cystathionine gamma-synthase (EC 4.2.99.9),b3939,AAM,0.69
4127415,REC03838,metL,N,810,"128, 242, 381, 447, 508, 553, 717, 733, 759, 769",,P00562,Bifunctional aspartokinase/homoserine dehydrogenase II,b3940,AAM,0.19
4130196,REC03839,metF,N,296,"17, 78, 191",,P00394,"5,10-methylenetetrahydrofolate reductase (EC 1.7.99.5)",b3941,BEN,0.50
4131415,REC03840,katG,N,726,"10, 26, 171, 383, 517, 527, 567, 578, 620, 708, 721, 726",,P13029,Peroxidase/catalase HPI (EC 1.11.1.6),b3942,MSM,0.28
4133655,REC03841,yijE,N,312,"20, 39, 136, 149, 223",,P32667,Hypothetical transport protein yijE,b3943,UNC,0.22
4135237,REC06261,yijF,N,205,"4, 149, 154",,P32668,Hypothetical protein yijF precursor,b3944,UNC,0.06
4136654,REC06262,gldA,N,380,"5, 65, 338",,P32665,Glycerol dehydrogenase (EC 1.1.1.6),b3945,CHM,0.22
4137288,REC06263,fsaB,N,220,"4, 65, 154, 180, 196, 216",,P32669,Fructose-6-phosphate aldolase 2 (EC 4.1.2.-),b3946,CHM,0.28
4139435,REC06264,ptsA,N,711,"242, 248, 428, 463, 529, 574, 602, 633, 670",,P32670,Phosphoenolpyruvate-protein phosphotransferase ptsA (EC 2.7.3.9),b3947,MTR,0.75
4139437,REC03846,yijI,X,109,-,,Q9Z3C7,Hypothetical protein YIJI,b3948,UNC,0.00
4140109,REC03847,frwC,N,359,"14, 86, 108, 116, 144, 198, 239, 262, 272",,P32672,"PTS system, fructose-like-2 IIC component",b3949,MTR,0.47
4141203,REC03848,frwB,N,106,"26, 32",,P32673,"PTS system, fructose-like-2 IIB component 1 (EC 2.7.1.69)",b3950,CHM,0.09
4141574,REC03849,pflD,N,765,"353, 588, 639, 698, 764",,P32674,Formate acetyltransferase 2 (EC 2.3.1.54),b3951,CHM,0.22
4143837,REC03850,pflC,N,292,"9, 57, 98, 156, 178, 211, 253",,P32675,Pyruvate formate-lyase 2 activating enzyme (EC 1.97.1.4),b3952,CHM,0.28
4144717,REC03851,frwD,N,113,"36, 96, 99",,P32676,"PTS system, fructose-like-2 IIB component 2 (EC 2.7.1.69)",b3953,CHM,0.09
4145896,REC06265,yijO,N,283,"42, 215",,P32677,Hypothetical transcriptional regulator yijO,b3954,UNC,0.13
4147844,REC06266,yijP,N,577,"53, 82, 83, 104, 122, 135, 147, 156, 191, 199, 327, 450",,P32678,Protein yijP,b3955,UNC,0.06
4150677,REC06267,ppc,N,883,"3, 15, 82, 104, 123, 148, 171, 489, 624, 876, 881",,P00864,Phosphoenolpyruvate carboxylase (EC 4.1.1.31),b3956,CHM,0.34
4152426,REC06268,argE,X,383,363,,P23908,Acetylornithine deacetylase (EC 3.5.1.16),b3957,AAM,0.44
4152580,REC03856,argC,E,334,317,< 0.01,P11446,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38),b3958,AAM,0.72
4153592,REC03857,argB,N,258,"12, 53, 74, 98, 154, 190",,P11445,Acetylglutamate kinase (EC 2.7.2.8),b3959,AAM,0.72
4154429,REC03858,argH,N,457,"13, 47, 58, 128, 130, 189, 374",,P11447,Argininosuccinate lyase (EC 4.3.2.1),b3960,AAM,0.75
4156069,REC03859,oxyR,N,305,"181, 301",,P11721,Hydrogen peroxide-inducible genes activator,b3961,RCD,0.50
4158303,REC06269,sthA,N,444,"14, 53, 57, 81, 228, 280, 392",,P27306,Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1),b3962,BEN,0.19
4158646,REC03861,yijC,N,234,"8, 111, 143, 207",,P27307,Hypothetical protein yijC,b3963,UNC,0.09
4159350,REC03862,yijD,N,119,"92, 102",,P27308,Hypothetical protein yijD,b3964,UNC,0.03
4160849,REC06270,trmA,N,366,"101, 115, 130, 177, 288",,P23003,tRNA (Uracil-5-)-methyltransferase (EC 2.1.1.35),b3965,NAM,0.16
4161218,REC03864,btuB,N,614,"49, 109, 174, 273",,P06129,Vitamin B12 receptor precursor,b3966,MTR,0.19
4162995,REC03865,murI,E,289,-,< 0.1,P22634,Glutamate racemase (EC 5.1.1.3),b3967,AAM,0.84
4169636,REC03866,murB,N,342,"7, 138, 296",,P08373,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158),b3972,LPC,0.97
4170661,REC03867,birA,E,321,17,< 0.2,P06709,BirA bifunctional protein,b3973,NCM,0.88
4172605,REC06271,coaA,E,316,-,< 0.2,P15044,Pantothenate kinase (EC 2.7.1.33),b3974,NCM,0.34
4172947,REC06272,,N,51,"4, 47",,Q47715,COLI CHROMOSOMAL REGION FROM 89.2 TO 92.8 MINUTES,b3975,UNC,0.00
4173523,REC03870,tufB,E,394,-,< 0.05,P02990,Elongation factor Tu,b3980,PMS,1.00
4174937,REC03871,secE,N,127,86,,P16920,Preprotein translocase secE subunit,b3981,PMS,0.22
4175322,REC03872,nusG,N,181,"6, 57, 69",,P16921,Transcription antitermination protein nusG,b3982,RCD,0.97
4176025,REC06615,rplK,X,142,-,,P02409,50S ribosomal protein L11,b3983,PMS,1.00
4176457,REC03874,rplA,X,234,-,,P02384,50S ribosomal protein L1,b3984,PMS,1.00
4177574,REC03875,rplJ,E,165,-,< 0.2,P02408,50S ribosomal protein L10,b3985,PMS,1.00
4178138,REC03876,rplL,E,121,-,0.32,P02392,50S ribosomal protein L7/L12,b3986,PMS,1.00
4178823,REC03877,rpoB,E,1342,-,n.d.,P00575,DNA-directed RNA polymerase beta chain (EC 2.7.7.6),b3987,NAM,1.00
4182928,REC06616,rpoC,E,1407,35,n.d.,P00577,DNA-directed RNA polymerase beta' chain (EC 2.7.7.6),b3988,NAM,1.00
4187364,REC03879,htrC,N,179,"76, 108, 166",,P27375,Heat shock protein C,b3989,UNC,0.00
4189446,REC06273,thiH,X,377,-,,P30140,Thiazole biosynthesis protein thiH,b3990,NCM,0.16
4190288,REC06274,thiG,X,281,-,,P30139,Thiazole biosynthesis protein thiG,b3991,NCM,0.63
4191136,REC06275,thiF,N,245,"16, 39",,P30138,Adenylyltransferase thiF (EC 2.7.7.-),b3992,NCM,0.16
4191782,REC06276,thiE,N,211,"64, 107, 150, 153",,P30137,Thiamine-phosphate pyrophosphorylase (EC 2.5.1.3),b3993,NCM,0.78
4193677,REC06277,thiC,N,631,"43, 290, 429, 508",,P30136,Thiamine biosynthesis protein thiC,b3994,NCM,0.63
4194386,REC06278,rsd,E,158,-,< 0.1,P31690,Regulator of sigma D,b3995,RCD,0.06
4194481,REC03886,nudC,N,257,"13, 67, 84, 128, 187",,P32664,NADH pyrophosphatase (EC 3.6.1.-),b3996,MSM,0.38
4195294,REC06617,hemE,E,354,-,< 0.01,P29680,Uroporphyrinogen decarboxylase (EC 4.1.1.37),b3997,NCM,0.72
4196362,REC03888,nfi,N,225,"107, 204, 212",,P32679,Endonuclease V (EC 3.1.-.-),b3998,NAM,0.19
4197082,REC03889,yjaG,?,196,-,,P32680,Hypothetical protein yjaG,b3999,UNC,0.06
4197859,REC03890,hupA,N,90,"42, 74",,P02342,DNA-binding protein HU-alpha,b4000,RCD,0.81
4198144,REC03891,yjaH,N,231,"49, 60, 85, 89, 145, 168, 195",,P32681,Hypothetical protein yjaH,b4001,UNC,0.03
4199407,REC06279,zraP,E,188,166,< 0.1,P32682,Zinc resistance-associated protein precursor,b4002,UNC,0.00
4199504,REC03893,zraS,N,465,"20, 174, 310",,P14377,Sensor protein zraS (EC 2.7.3.-),b4003,SMC,0.16
4200898,REC03894,zraR,N,441,"122, 142, 175, 350, 427",,P14375,Transcriptional regulatory protein zraR,b4004,SMC,0.63
4203509,REC06280,purD,N,429,"90, 191, 244, 307, 363",,P15640,Phosphoribosylamine--glycine ligase (EC 6.3.4.13),b4005,NCM,0.81
4205110,REC06281,purH,N,529,"54, 79, 111, 226, 238, 249, 496",,P15639,Bifunctional purine biosynthesis protein purH,b4006,NCM,0.81
4210813,REC03897,yjaA,N,127,83,,P09162,Hypothetical protein yjaA,b4011,UNC,0.00
4211702,REC06282,yjaB,N,147,"43, 79, 92",,P09163,Hypothetical acetyltransferase yjaB (EC 2.3.1.-),b4012,UNC,0.22
4211859,REC03899,metA,N,309,"1, 172, 205, 270",,P07623,Homoserine O-succinyltransferase (EC 2.3.1.46),b4013,AAM,0.28
4213057,REC03900,aceB,N,533,"164, 199, 269",,P08997,Malate synthase A (EC 4.1.3.2),b4014,CHM,0.13
4214688,REC03901,aceA,N,434,"225, 289, 318, 369, 423",,P05313,Isocitrate lyase (EC 4.1.3.1),b4015,CHM,0.34
4216175,REC03902,aceK,N,578,"12, 58, 64, 100, 353, 403, 505",,P11071,Isocitrate dehydrogenase kinase/phosphatase (EC 2.7.1.116) (EC 3.1.3.-),b4016,CHM,0.06
4220066,REC06283,arpA,N,728,"126, 172, 196, 221, 244, 293, 346, 420, 510, 548, 554, 569, 580, 607, 639, 664, 669",,P23325,Ankyrin-repeat protein A,b4017,RCD,0.00
4221246,REC06284,iclR,N,287,213,,P16528,Acetate operon repressor,b4018,RCD,0.16
4221407,REC03905,metH,N,1227,"21, 165, 193, 255, 332, 363, 488",,P13009,5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13),b4019,AAM,0.56
4225310,REC03906,yjbB,N,543,"93, 258, 321, 353, 380, 398",,P32683,Hypothetical protein yjbB,b4020,UNC,0.34
4227721,REC06285,pepE,N,229,"8, 86",,P32666,Peptidase E (EC 3.4.-.-),b4021,PMS,0.19
4227933,REC03908,yjbC,N,290,"30, 180, 238, 282",,P32684,Hypothetical protein yjbC,b4022,UNC,0.97
4229210,REC06286,yjbD,N,90,"19, 44",,P32685,Hypothetical protein yjbD,b4023,UNC,0.00
4230812,REC06287,lysC,N,449,"394, 412, 443",,P08660,Lysine-sensitive aspartokinase III (EC 2.7.2.4),b4024,AAM,0.84
4231337,REC03911,pgi,N,549,"210, 256, 264, 318, 357, 457, 531",,P11537,Glucose-6-phosphate isomerase (EC 5.3.1.9),b4025,CHM,0.94
4233485,REC03912,yjbE,N,80,"20, 52",,P32686,Hypothetical protein yjbE precursor,b4026,UNC,0.00
4233811,REC03913,yjbF,X,222,10,,P32687,Hypothetical lipoprotein yjbF precursor,b4027,UNC,0.00
4234476,REC03914,yjbG,X,245,-,,P32688,Hypothetical protein yjbG precursor,b4028,UNC,0.00
4235213,REC03915,yjbH,N,698,"32, 52, 80, 140, 259, 439, 488, 526, 572, 595",,P32689,Hypothetical lipoprotein yjbH precursor,b4029,UNC,0.00
4237904,REC03916,yjbA,E,136,-,< 0.2,P23896,Hypothetical protein yjbA,b4030,UNC,0.09
4239833,REC06288,xylE,N,491,"34, 54, 72, 168, 190, 198, 219",,P09098,D-xylose-proton symporter,b4031,MTR,0.13
4241095,REC06289,malG,X,296,-,,P07622,Maltose transport system permease protein malG,b4032,MTR,0.38
4242654,REC06290,malF,N,514,"7, 19, 112, 128",,P02916,Maltose transport system permease protein malF,b4033,MTR,0.25
4243998,REC06291,malE,N,396,"186, 232, 304, 378",,P02928,Maltose-binding periplasmic protein precursor,b4034,MTR,0.47
4244363,REC03921,malK,N,371,"175, 327",,P02914,Maltose/maltodextrin transport ATP-binding protein malK,b4035,MTR,0.28
4245550,REC03922,lamB,N,446,"4, 36, 41, 58, 94, 126, 148, 214, 298, 330, 341",,P02943,Maltoporin precursor,b4036,MTR,0.06
4247133,REC03923,malM,N,306,"34, 88",,P03841,Maltose operon periplasmic protein precursor,b4037,UNC,0.03
4248534,REC03924,yjbI,?,442,400,,P32690,Hypothetical protein yjbI,b4038,UNC,0.00
4249974,REC03925,ubiC,N,202,-,,P26602,Chorismate--pyruvate lyase (EC 4.-.-.-),b4039,NCM,0.09
4250595,REC03926,ubiA,X,290,-,,P26601,4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-),b4040,NCM,0.66
4254105,REC06292,plsB,X,827,-,,P00482,Glycerol-3-phosphate acyltransferase (EC 2.3.1.15),b4041,LPC,0.16
4254216,REC03928,dgkA,X,122,-,,P00556,Diacylglycerol kinase (EC 2.7.1.107),b4042,LPC,0.44
4254694,REC03929,lexA,X,202,-,,P03033,LexA repressor (EC 3.4.21.88),b4043,NAM,0.63
4255321,REC03930,dinF,N,459,"300, 357, 374, 389, 424, 434",,P28303,DNA-damage-inducible protein F,b4044,UNC,0.88
4256816,REC03931,yjbJ,?,69,-,,P32691,Protein yjbJ,b4045,UNC,0.13
4257642,REC06293,zur,N,191,"24, 58, 120, 161, 183",,P32692,Zinc uptake regulation protein,b4046,RCD,0.28
4257900,REC03933,yjbL,E,84,-,0.41,P32693,Hypothetical protein yjbL,b4047,UNC,0.00
4258178,REC03934,yjbM,E,235,225,< 0.05,P32694,Hypothetical protein yjbM,b4048,UNC,0.00
4259248,REC03935,yjbN,N,345,"19, 22",,P32695,Hypothetical protein yjbN,b4049,UNC,0.44
4260209,REC03936,yjbO,E,150,-,< 0.2,P32696,Hypothetical protein yjbO,b4050,UNC,0.03
4261810,REC06294,qor,N,327,-,,P28304,Quinone oxidoreductase (EC 1.6.5.5),b4051,BEN,0.47
4261893,REC03938,dnaB,E,471,-,< 0.01,P03005,Replicative DNA helicase (EC 3.6.1.-),b4052,NAM,1.00
4263361,REC03939,alr,N,359,"58, 61, 94, 106, 155, 307",,P29743,"Alanine racemase, biosynthetic (EC 5.1.1.1)",b4053,AAM,0.88
4264693,REC03940,tyrB,E,397,-,< 0.05,P04693,Aromatic-amino-acid aminotransferase (EC 2.6.1.57),b4054,AAM,0.28
4266630,REC06772,yjbS,E,80,-,0.46,P58036,Hypothetical protein yjbS,,UNC,0.00
4266993,REC03941,aphA,N,237,"25, 54, 55, 80",,P32697,Class B acid phosphatase precursor (EC 3.1.3.2),b4055,MSM,0.03
4267817,REC03942,yjbQ,N,138,"5, 32",,P32698,Hypothetical protein yjbQ,b4056,UNC,0.34
4268237,REC06633,yjbR,N,118,75,,P32699,Protein yjbR,b4057,UNC,0.00
4271450,REC06634,uvrA,N,940,"106, 146, 245, 339, 372, 525",,P07671,Excinuclease ABC subunit A,b4058,NAM,0.97
4271704,REC03945,ssb,X,178,-,,P02339,Single-strand binding protein,b4059,NAM,0.91
4272689,REC06296,yjcB,X,116,-,,P32700,Hypothetical protein yjcB,b4060,UNC,0.00
4273050,REC03947,yjcC,X,528,-,,P32701,Hypothetical protein yjcC,b4061,UNC,0.31
4274962,REC06297,soxS,X,107,-,,P22539,Regulatory protein soxS,b4062,RCD,0.06
4275048,REC03949,soxR,X,154,-,,P22538,Redox-sensitive transcriptional activator soxR,b4063,RCD,0.16
4276058,REC03950,yjcD,N,449,"60, 79, 120, 164, 194, 210, 249, 265, 382, 418",,P32702,Hypothetical protein yjcD,b4064,UNC,0.66
4277559,REC03951,yjcE,N,549,"26, 26, 83, 287, 497",,P32703,Putative Na(+)/H(+) exchanger yjcE,b4065,UNC,0.44
4280654,REC06298,yjcF,N,430,"377, 379",,P32704,Hypothetical protein yjcF,b4066,UNC,0.03
4282481,REC06299,yjcG,N,549,-,,P32705,Putative symporter yjcG,b4067,UNC,0.22
4282792,REC06300,yjcH,X,104,-,,P32706,Hypothetical protein yjcH,b4068,UNC,0.06
4284950,REC06301,acs,N,652,"116, 217, 252, 418, 453, 541, 609",,P27550,Acetyl-coenzyme A synthetase (EC 6.2.1.1),b4069,CHM,0.63
4285343,REC03956,nrfA,N,478,"36, 122, 301, 326, 333, 340, 386, 387",,P32050,Cytochrome C552 precursor,b4070,BEN,0.06
4286818,REC03957,nrfB,N,190,"48, 65, 87, 127",,P32707,Cytochrome c-type protein nrfB precursor,b4071,BEN,0.03
4287387,REC06635,nrfC,N,223,132,,P32708,NrfC protein,b4072,UNC,0.06
4288055,REC03959,nrfD,N,318,"55, 95, 190, 237",,P32709,NrfD protein,b4073,UNC,0.03
4289091,REC03960,nrfE,N,552,"132, 355, 439, 503, 504",,P32710,Cytochrome c-type biogenesis protein nrfE,b4074,UNC,0.00
4290742,REC03961,nrfF,N,127,"9, 31, 120",,P32711,Cytochrome c-type biogenesis protein nrfF precursor,b4075,UNC,0.00
4291122,REC03962,nrfG,N,198,"36, 88, 119, 127",,P32712,NrfG protein,b4076,UNC,0.06
4292060,REC03963,gltP,N,437,"3, 83, 104, 277, 378, 405",,P21345,Proton glutamate symport protein,b4077,MTR,0.28
4294704,REC06302,yjcO,N,229,"83, 112",,P32713,Hypothetical protein yjcO precursor,b4078,UNC,0.00
4296945,REC06636,fdhF,N,715,"35, 102, 401, 549",,P07658,Formate dehydrogenase H (EC 1.2.1.2),b4079,SMC,0.53
4298609,REC06637,yjcP,N,488,"19, 29, 128, 190, 206, 275, 330",,P32714,Hypothetical outer-membrane lipoprotein yjcP precursor,b4080,UNC,0.09
4300516,REC06305,yjcQ,N,636,"18, 553",,P32715,Hypothetical transporter yjcQ,b4081,UNC,0.00
4301688,REC06306,yjcR,N,343,"112, 139, 247, 320",,P32716,Hypothetical protein yjcR,b4082,UNC,0.50
4304188,REC06638,yjcS,N,665,608,,P32717,Hypothetical protein yjcS,b4083,UNC,0.16
4305378,REC06308,alsK,N,309,"239, 254, 274",,P32718,D-allose kinase (EC 2.7.1.55),b4084,CHM,0.09
4306057,REC06309,alsE,X,231,-,,P32719,D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-),b4085,CHM,0.03
4307048,REC06310,alsC,X,326,-,,P32720,D-allose transport system permease protein alsC,b4086,MTR,0.13
4308559,REC06311,alsA,N,510,"7, 91, 97, 152, 172, 201, 408, 430, 449",,P32721,D-allose transport ATP-binding protein alsA,b4087,MTR,0.28
4309621,REC06312,alsB,N,311,"234, 266",,P39265,D-allose-binding periplasmic protein precursor,b4088,MTR,0.00
4310603,REC06313,rpiR,N,307,"12, 18",,P39266,Protein rpiR,b4089,RCD,0.09
4310929,REC03976,rpiB,N,149,"54, 119, 142",,P37351,Ribose 5-phosphate isomerase B (EC 5.3.1.6),b4090,CHM,0.56
4311796,REC06314,phnQ,N,135,"84, 90",,P16693,Very hypothetical phnQ protein,b4091,UNC,0.00
4312680,REC06315,phnP,N,252,"210, 237",,P16692,PhnP protein,b4092,UNC,0.28
4313116,REC06316,phnO,X,144,-,,P16691,PhnO protein,b4093,UNC,0.06
4313660,REC06317,phnN,X,185,-,,P16690,ATP-binding protein phnN,b4094,UNC,0.16
4314796,REC06318,phnM,N,378,"11, 111, 224, 266, 285",,P16689,PhnM protein,b4095,UNC,0.19
4315473,REC06319,phnL,N,226,"25, 53, 114",,P16679,Phosphonates transport ATP-binding protein phnL,b4096,MSM,0.16
4316342,REC06320,phnK,X,252,-,,P16678,Phosphonates transport ATP-binding protein phnK,b4097,MSM,0.75
4317184,REC06321,phnJ,X,281,-,,P16688,PhnJ protein,b4098,UNC,0.16
4318241,REC06322,phnI,N,354,"125, 202, 266",,P16687,PhnI protein,b4099,UNC,0.16
4318825,REC06323,phnH,N,194,"83, 95",,P16686,PhnH protein,b4100,UNC,0.16
4319274,REC06324,phnG,N,150,"25, 150",,P16685,PhnG protein,b4101,UNC,0.16
4320000,REC06325,phnF,X,241,-,,P16684,Probable transcriptional regulator phnF,b4102,UNC,0.19
4320242,REC06326,,X,73,-,,P16683,Phosphonates transport system permease protein phnE,b4103,MTR,0.00
4320859,REC06327,phnE,N,206,21,,P16683,Phosphonates transport system permease protein phnE,,MTR,0.25
4321930,REC06328,phnD,N,338,"51, 118, 231, 309",,P16682,Phosphonates-binding periplasmic protein precursor,b4105,MTR,0.25
4322743,REC06329,phnC,N,262,"155, 203",,P16677,Phosphonates transport ATP-binding protein phnC,b4106,MTR,0.34
4323319,REC06330,phnB,X,147,-,,P16681,PhnB protein,b4107,UNC,0.22
4324312,REC06331,phnA,N,111,"11, 33",,P16680,PhnA protein,b4108,UNC,0.47
4324713,REC03995,yjdA,N,742,"6, 41, 62, 137, 156, 241, 520, 575, 615",,P16694,Hypothetical protein yjdA,b4109,UNC,0.00
4326971,REC03996,yjcZ,N,281,"190, 220",,P39267,Hypothetical protein yjcZ,b4110,UNC,0.00
4328080,REC03997,proP,N,500,"14, 103, 132, 177, 245, 375, 499",,P30848,Proline/betaine transporter,b4111,MTR,0.38
4330850,REC06332,basS,X,363,353,,P30844,Sensor protein basS/pmrB (EC 2.7.3.-),b4112,SMC,0.03
4331528,REC06333,basR,N,222,"43, 60, 120, 166",,P30843,Transcriptional regulatory protein basR/pmrA,b4113,SMC,0.00
4333198,REC06334,yjdB,N,557,"125, 147, 226, 288, 362, 421",,P30845,Hypothetical protein yjdB,b4114,UNC,0.31
4334609,REC06335,yjdE,X,445,-,,P39269,Hypothetical transport protein yjdE,b4115,UNC,0.25
4335507,REC06337,adiY,X,253,-,,P33234,Putative regulatory protein adiY,b4116,UNC,0.00
4338102,REC06338,adiA,N,756,39,,P28629,Biodegradative arginine decarboxylase (EC 4.1.1.19),b4117,AAM,0.31
4339206,REC06339,melR,N,302,"46, 53",,P10411,Melibiose operon regulatory protein,b4118,RCD,0.16
4339489,REC04006,melA,N,451,"181, 221, 390",,P06720,Alpha-galactosidase (EC 3.2.1.22),b4119,CHM,0.16
4340959,REC04007,melB,N,469,"110, 124, 126, 139, 168, 199, 223, 245, 292, 314, 319, 348, 384, 416, 436, 464",,P02921,Melibiose carrier protein,b4120,MTR,0.00
4343136,REC06340,yjdF,N,209,"31, 71, 126",,P39270,Hypothetical protein yjdF,b4121,UNC,0.03
4344904,REC06341,fumB,N,548,"11, 394",,P14407,"Fumarate hydratase class I, anaerobic (EC 4.2.1.2)",b4122,CHM,0.31
4346322,REC06342,dcuB,N,446,"1, 45, 74, 285, 421, 437",,P14409,Anaerobic C4-dicarboxylate transporter dcuB,b4123,MTR,0.16
4347612,REC06343,dcuR,N,239,117,,P39271,Transcriptional regulatory protein dcuR,b4124,SMC,0.03
4349240,REC06344,dcuS,N,543,"152, 212",,P39272,Sensor protein dcuS (EC 2.7.3.-),b4125,SMC,0.03
4349421,REC04013,yjdI,N,76,35,,P39273,Hypothetical protein yjdI,b4126,UNC,0.06
4349663,REC04014,yjdJ,N,90,31,,P39274,Hypothetical protein yjdJ,b4127,UNC,0.22
4350162,REC04015,yjdK,N,98,15,,P39275,Hypothetical protein yjdK,b4128,UNC,0.00
4350486,REC06711,yjdO,X,57,-,,P58038,Hypothetical protein yjdO,,UNC,0.00
4352295,REC06345,lysU,N,505,"44, 73, 86, 136, 138, 196, 251, 272",,P14825,"Lysyl-tRNA synthetase, heat inducible (EC 6.1.1.6)",b4129,NAM,0.91
4353989,REC06346,yjdL,N,485,"71, 206, 317, 340, 405, 433",,P39276,Hypothetical transporter yjdL,b4130,UNC,0.31
4356195,REC06347,cadA,N,715,"24, 65, 73, 170, 214, 258, 443, 464",,P23892,"Lysine decarboxylase, inducible (EC 4.1.1.18)",b4131,AAM,0.16
4357609,REC06348,cadB,N,444,"391, 413, 431",,P23891,Probable cadaverine/lysine antiporter,b4132,UNC,0.03
4359512,REC06349,cadC,X,512,-,,P23890,Transcriptional activator cadC,b4133,RCD,0.06
4360910,REC06350,yjdC,X,199,-,,P36656,Protein yjdC,b4135,UNC,0.09
4362620,REC06351,dsbD,N,565,"97, 111, 146, 247, 267, 305",,P36655,Thiol:disulfide interchange protein dsbD precursor,b4136,PMS,0.34
4362934,REC06352,cutA,N,112,41,,P36654,Periplasmic divalent cation tolerance protein cutA,b4137,UNC,0.16
4364351,REC06353,dcuA,N,433,"275, 343, 343, 414",,P04539,Anaerobic C4-dicarboxylate transporter dcuA,b4138,MTR,0.16
4365950,REC06354,aspA,N,493,"16, 90, 92, 208",,P04422,Aspartate ammonia-lyase (EC 4.3.1.1),b4139,AAM,0.41
4366341,REC04026,fxsA,N,125,"20, 25",,P37147,FxsA protein,b4140,UNC,0.22
4367990,REC06355,yjeH,N,418,"250, 302, 389",,P39277,Hypothetical protein yjeH,b4141,UNC,0.34
4368266,REC04028,groS,E,97,-,0.37,P05380,10 kDa chaperonin,b4142,PMS,0.97
4368603,REC04029,groL,E,548,-,< 0.01,P06139,60 kDa chaperonin,b4143,PMS,1.00
4370354,REC04030,yjeI,?,128,99,,P39278,Hypothetical protein yjeI precursor,b4144,UNC,0.00
4371812,REC06356,yjeJ,N,289,"28, 123, 137, 223",,P39279,Hypothetical protein yjeJ,b4145,UNC,0.00
4373235,REC06357,yjeK,?,342,328,,P39280,Hypothetical protein yjeK,b4146,UNC,0.41
4373277,REC04033,efp,E,188,-,< 0.2,P33398,Elongation factor P,b4147,PMS,1.00
4374131,REC06712,ecnB,?,48,-,,P56549,Entericidin B precursor,,UNC,0.00
4374303,REC04034,sugE,N,155,79,,P30743,SugE protein,b4148,UNC,0.44
4375300,REC06358,blc,?,177,155,,P39281,Outer membrane lipoprotein blc precursor,b4149,UNC,0.22
4376522,REC06359,ampC,N,377,"17, 286",,P00811,Beta-lactamase precursor (EC 3.5.2.6),b4150,MSM,0.28
4376944,REC06360,frdD,?,119,105,,P03806,Fumarate reductase 13 kDa hydrophobic protein,b4151,BEN,0.06
4377350,REC06361,frdC,N,131,18,,P03805,Fumarate reductase 15 kDa hydrophobic protein,b4152,BEN,0.09
4378095,REC06362,frdB,N,244,"78, 80, 181, 238",,P00364,Fumarate reductase iron-sulfur protein (EC 1.3.99.1),b4153,SMC,0.72
4379896,REC06363,frdA,N,602,"106, 109, 189, 219, 273, 339, 373",,P00363,Fumarate reductase flavoprotein subunit (EC 1.3.99.1),b4154,SMC,0.78
4380191,REC04041,poxA,E,335,-,< 0.05,P03812,Putative lysyl-tRNA synthetase (EC 6.1.1.6),b4155,UNC,0.31
4381375,REC04042,yjeM,N,514,"28, 33, 215, 269, 296, 307, 330, 345, 514",,P39282,Hypothetical transporter yjeM,b4156,UNC,0.00
4383282,REC04044,yjeO,E,104,-,0.35,P39284,Hypothetical protein yjeO,b4158,UNC,0.00
4386948,REC06477,yjeP,N,1107,"27, 82, 179, 266, 425, 1051",,P39285,Hypothetical protein yjeP precursor,b4159,UNC,0.88
4387938,REC06365,psd,X,322,318,,P10740,Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65),b4160,LPC,0.56
4389048,REC06366,yjeQ,X,337,-,,P39286,Hypothetical protein yjeQ,b4161,UNC,0.66
4389113,REC04048,orn,N,204,"15, 36, 59",,P39287,Oligoribonuclease (EC 3.1.-.-),b4162,NAM,0.28
4391644,REC04050,yjeF,N,515,"132, 325, 342, 423, 454, 496",,P31806,Hypothetical protein yjeF,b4167,UNC,0.75
